edgeID,startNode,endNode
USTAI00604_UHALL02004,USTAI00604,UHALL02004
UHALL01904_UDEPT00204,UHALL01904,UDEPT00204
UHALL01804_USTAI00504,UHALL01804,USTAI00504
UDEPT00904_UHALL01504,UDEPT00904,UHALL01504
UHALL01104_UELEV00304,UHALL01104,UELEV00304
UELEV00304_UHALL02104,UELEV00304,UHALL02104
UHALL02404_UHALL02504,UHALL02404,UHALL02504
UHALL02704_UHALL02804,UHALL02704,UHALL02804
UHALL02804_UDEPT01004,UHALL02804,UDEPT01004
UHALL03004_UDEPT00804,UHALL03004,UDEPT00804
UHALL00904_UDEPT00604,UHALL00904,UDEPT00604
UHALL03104_UHALL03204,UHALL03104,UHALL03204
UHALL03204_UHALL03304,UHALL03204,UHALL03304
UHALL03304_UELEV00104,UHALL03304,UELEV00104
UELEV00104_UHALL03404,UELEV00104,UHALL03404
UHALL03404_USTAI00104,UHALL03404,USTAI00104
USTAI00104_UHALL03504,USTAI00104,UHALL03504
UHALL03604_UREST00204,UHALL03604,UREST00204
UHALL02504_UDEPT00704,UHALL02504,UDEPT00704
UHALL02404_USTAI00204,UHALL02404,USTAI00204
UDEPT00404_UHALL03704,UDEPT00404,UHALL03704
UHALL03704_UHALL03804,UHALL03704,UHALL03804
UHALL03904_UHALL04004,UHALL03904,UHALL04004
UHALL04104_UDEPT00104,UHALL04104,UDEPT00104
UDEPT00104_UHALL04204,UDEPT00104,UHALL04204
UDEPT00304_UHALL04704,UDEPT00304,UHALL04704
UHALL04604_UDEPT00504,UHALL04604,UDEPT00504
UDEPT00504_UHALL04504,UDEPT00504,UHALL04504
UHALL03804_UDEPT00404,UHALL03804,UDEPT00404
UHALL00904_UHALL00804,UHALL00904,UHALL00804
UHALL01004_UCONF00104,UHALL01004,UCONF00104
UHALL04704_UDEPT00304,UHALL04704,UDEPT00304
UHALL00804_UREST00104,UHALL00804,UREST00104
UHALL03604_UELEV00104,UHALL03604,UELEV00104
UDEPT01204_UHALL01004,UDEPT01204,UHALL01004
UHALL00304_UCONF00204,UHALL00304,UCONF00204
UCONF00204_UHALL00404,UCONF00204,UHALL00404
UHALL00304_UDEPT01304,UHALL00304,UDEPT01304
UHALL03504_UELEV00104,UHALL03504,UELEV00104
UHALL00104_USTAI00304,UHALL00104,USTAI00304
UHALL00104_UHALL00204,UHALL00104,UHALL00204
UHALL00204_UHALL00304,UHALL00204,UHALL00304
UHALL00304_UHALL00404,UHALL00304,UHALL00404
UHALL00404_UHALL00504,UHALL00404,UHALL00504
UHALL00504_UHALL00604,UHALL00504,UHALL00604
UHALL00604_UHALL00704,UHALL00604,UHALL00704
UHALL00704_UHALL00804,UHALL00704,UHALL00804
UHALL00904_UHALL01004,UHALL00904,UHALL01004
UHALL01004_UHALL01104,UHALL01004,UHALL01104
UHALL01104_UHALL01204,UHALL01104,UHALL01204
UHALL01204_UHALL01304,UHALL01204,UHALL01304
UHALL01204_UHALL02104,UHALL01204,UHALL02104
UHALL01204_UHALL02204,UHALL01204,UHALL02204
UHALL01204_UHALL02304,UHALL01204,UHALL02304
UHALL01304_UHALL01404,UHALL01304,UHALL01404
UHALL01404_UHALL01504,UHALL01404,UHALL01504
UHALL01504_UHALL01604,UHALL01504,UHALL01604
UHALL01604_UHALL01704,UHALL01604,UHALL01704
UHALL01704_UHALL01804,UHALL01704,UHALL01804
UHALL01804_UHALL01904,UHALL01804,UHALL01904
UHALL01904_UHALL02004,UHALL01904,UHALL02004
UHALL04404_UDEPT01104,UHALL04404,UDEPT01104
UHALL02104_UHALL02304,UHALL02104,UHALL02304
UHALL02204_UHALL02304,UHALL02204,UHALL02304
UHALL02304_UHALL02404,UHALL02304,UHALL02404
UHALL02504_UHALL02604,UHALL02504,UHALL02604
UHALL02604_UHALL02704,UHALL02604,UHALL02704
UHALL02804_UHALL02904,UHALL02804,UHALL02904
UHALL02904_UHALL03004,UHALL02904,UHALL03004
UHALL03004_UHALL03104,UHALL03004,UHALL03104
UHALL03304_UHALL03404,UHALL03304,UHALL03404
UHALL03304_UHALL04304,UHALL03304,UHALL04304
UHALL03404_UHALL03504,UHALL03404,UHALL03504
UHALL03504_UHALL03604,UHALL03504,UHALL03604
UHALL03604_UHALL03704,UHALL03604,UHALL03704
UHALL03804_UHALL03904,UHALL03804,UHALL03904
UHALL04004_UHALL04104,UHALL04004,UHALL04104
UHALL04104_UHALL04204,UHALL04104,UHALL04204
UHALL04204_UHALL03304,UHALL04204,UHALL03304
UHALL04304_UHALL04404,UHALL04304,UHALL04404
UHALL04404_UHALL04504,UHALL04404,UHALL04504
UHALL04504_UHALL04604,UHALL04504,UHALL04604
UHALL04604_UHALL04704,UHALL04604,UHALL04704
UHALL04704_UHALL03704,UHALL04704,UHALL03704
UHALL02204_UELEV00204,UHALL02204,UELEV00204
UHALL00704_USTAI00404,UHALL00704,USTAI00404
UHALL01104_UHALL02204,UHALL01104,UHALL02204
UHALL01304_UHALL02104,UHALL01304,UHALL02104
REXIT00201_RDEPT00401,REXIT00201,RDEPT00401
RDEPT00401_REXIT00201,RDEPT00401,REXIT00201
RDEPT00401_RHALL00401,RDEPT00401,RHALL00401
RHALL00401_RDEPT00401,RHALL00401,RDEPT00401
RHALL00401_RSERV00101,RHALL00401,RSERV00101
RSERV00101_RHALL00401,RSERV00101,RHALL00401
RHALL00401_RHALL00501,RHALL00401,RHALL00501
RHALL00501_RHALL00401,RHALL00501,RHALL00401
RHALL00501_RHALL00601,RHALL00501,RHALL00601
RHALL00601_RHALL00501,RHALL00601,RHALL00501
RHALL00601_RREST00101,RHALL00601,RREST00101
RREST00101_RHALL00601,RREST00101,RHALL00601
RHALL00601_RLABS00101,RHALL00601,RLABS00101
RLABS00101_RHALL00601,RLABS00101,RHALL00601
RHALL00601_RHALL00701,RHALL00601,RHALL00701
RHALL00701_RHALL00601,RHALL00701,RHALL00601
RHALL00701_RREST00201,RHALL00701,RREST00201
RREST00201_RHALL00701,RREST00201,RHALL00701
RHALL00701_RHALL00801,RHALL00701,RHALL00801
RHALL00801_RHALL00701,RHALL00801,RHALL00701
RHALL01001_RHALL00901,RHALL01001,RHALL00901
RHALL00901_RHALL01001,RHALL00901,RHALL01001
RHALL01001_RHALL01101,RHALL01001,RHALL01101
RHALL01101_RHALL01001,RHALL01101,RHALL01001
RHALL01101_RDEPT00101,RHALL01101,RDEPT00101
RDEPT00101_RHALL01101,RDEPT00101,RHALL01101
RHALL01101_RHALL01201,RHALL01101,RHALL01201
RHALL01201_RHALL01101,RHALL01201,RHALL01101
RHALL01001_RHALL01701,RHALL01001,RHALL01701
RHALL01701_RHALL01001,RHALL01701,RHALL01001
RHALL01701_RDEPT00301,RHALL01701,RDEPT00301
RDEPT00301_RHALL01701,RDEPT00301,RHALL01701
RHALL01701_RHALL01801,RHALL01701,RHALL01801
RHALL01801_RHALL01701,RHALL01801,RHALL01701
RHALL01401_RHALL01801,RHALL01401,RHALL01801
RHALL01801_RHALL01401,RHALL01801,RHALL01401
RHALL01301_RHALL00801,RHALL01301,RHALL00801
RHALL00801_RHALL01301,RHALL00801,RHALL01301
RHALL01301_RDEPT00201,RHALL01301,RDEPT00201
RDEPT00201_RHALL01301,RDEPT00201,RHALL01301
RHALL01301_RHALL01401,RHALL01301,RHALL01401
RHALL01401_RHALL01301,RHALL01401,RHALL01301
RHALL01401_RHALL01501,RHALL01401,RHALL01501
RHALL01501_RHALL01401,RHALL01501,RHALL01401
RHALL01501_RSTAI00201,RHALL01501,RSTAI00201
RSTAI00201_RHALL01501,RSTAI00201,RHALL01501
RHALL01501_RHALL01601,RHALL01501,RHALL01601
RHALL01601_RHALL01501,RHALL01601,RHALL01501
RHALL01601_RELEV00Y01,RHALL01601,RELEV00Y01
RELEV00Y01_RHALL01601,RELEV00Y01,RHALL01601
